snr_db,BPSK_BER,QPSK_BER,16QAM_BER,64QAM_BER,BPSK_SE,QPSK_SE,16QAM_SE,64QAM_SE,BPSK_eligible,QPSK_eligible,16QAM_eligible,64QAM_eligible,best_mode,best_mode_bps,fallback_used,selection_reason,reliability_uncertain,label_uncertain,boundary_uncertain,num_blocks
0.0,0.14641117621527777,0.21106934678819445,0.3155479926215278,0.3739170355902778,0.0006751982609531082,0.0006581934797213907,0.0005099968878372889,0.0003629048879385066,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
2.0,0.10914064670138889,0.16849890407986112,0.27842894422743053,0.3460136357060185,0.0006403644589619955,0.0006742348428245464,0.0005641321374662882,0.00041923087193410704,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
4.0,0.07674342447916667,0.12668552517361112,0.23715054796006946,0.31306666304976855,0.000581391199923081,0.0006585628737826048,0.0006049803742011518,0.0004754111582156535,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
6.0,0.05403196614583333,0.09302073567708333,0.19653487413194445,0.27799591290509257,0.0005198566207345998,0.0006232633511654228,0.0006367418299694604,0.000530230261252577,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
8.0,0.03543760850694445,0.0644331271701389,0.1563938747829861,0.2409167426215278,0.00043273430413990423,0.0005468052251715848,0.000631387126264879,0.0005592506654436684,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
10.0,0.023560264756944446,0.04388671875,0.11963401150173611,0.2032935619212963,0.0003626902586960344,0.00047523293916490553,0.000611945208688285,0.0005803936289950935,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
12.0,0.015798980034722222,0.029684722222222223,0.08853359375,0.16732545934606483,0.0003055795693584109,0.00040688592878958697,0.0005720818397726596,0.0005850954265416771,False,False,False,False,BPSK,1,True,Fallback (robustest_mode): no mode satisfied BER <= 0.0100,False,False,False,30000
14.0,0.009577300347222222,0.018798187934027776,0.06185818684895834,0.13176778428819444,0.00023193481507134594,0.0003229900022000085,0.0005030152797022865,0.0005661525611797608,True,False,False,False,BPSK,1,False,Max rate mode satisfying BER <= 0.0100,True,False,False,30000
16.0,0.0063918185763888885,0.012435709635416667,0.042621923828125,0.10061579499421296,0.0001953233935045116,0.00026993956256494517,0.0004403321616917597,0.0005395503806583506,True,False,False,False,BPSK,1,False,Max rate mode satisfying BER <= 0.0100,False,False,False,30000
16.5,0.0057189453125,0.011011935763888888,0.038019970703125,0.09284348234953704,0.00018739613708181917,0.00025754704342876737,0.0004204262208563348,0.0005254269359577854,True,False,False,False,BPSK,1,False,Max rate mode satisfying BER <= 0.0100,False,False,False,30000
