snr_db,light_best_mode,deep_best_mode,light_best_bps,deep_best_bps,label_flip,light_eligible_modes,deep_eligible_modes,light_fallback_used,deep_fallback_used,light_reliability_uncertain,deep_reliability_uncertain,light_label_uncertain,deep_label_uncertain,light_selection_reason,deep_selection_reason
0.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
2.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
4.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
6.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
8.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
10.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
12.0,BPSK,BPSK,1,1,False,None,None,True,True,False,False,False,False,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100,Fallback (robustest_mode): no mode satisfied upper 95% CI <= 0.0100
14.0,BPSK,BPSK,1,1,False,BPSK,BPSK,False,False,False,False,False,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100
16.0,BPSK,BPSK,1,1,False,BPSK,BPSK,False,False,False,False,False,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100
16.5,BPSK,BPSK,1,1,False,BPSK,BPSK,False,False,False,False,False,False,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100,Max rate mode satisfying upper 95% CI (BER + 1.96*SE) <= 0.0100
