snr_db,mode_id,modulation,light_blocks_per_seed,deep_blocks_per_seed,light_pooled_blocks,deep_pooled_blocks,light_ber,deep_ber,ber_diff,ber_abs_diff,light_se,deep_se,se_reduction_ratio,se_reduction_pct,light_ci95_low,light_ci95_high,light_ci95_width,deep_ci95_low,deep_ci95_high,deep_ci95_width,ci95_width_reduction_pct,light_overlaps_target,deep_overlaps_target,overlap_status_changed,light_ci_eligible,deep_ci_eligible,eligibility_changed
0.0,0,BPSK,10000,70000,20000,140000,0.14524303385416668,0.1463198939732143,0.001076860119047618,0.001076860119047618,0.0008221026568308533,0.0003111832710384098,2.641860065573319,62.14788159936144,0.1436317126467782,0.14685435506155514,0.003222642414776933,0.145709974761979,0.1469298131844496,0.0012198384224705872,62.147881599360666,False,False,False,False,False,False
0.0,1,QPSK,10000,70000,20000,140000,0.21000489908854167,0.21122446986607143,0.001219570777529766,0.001219570777529766,0.0008027986104576323,0.0003036426685360979,2.6438926199932054,62.17698130257008,0.20843141381204472,0.21157838436503862,0.0031469705529938996,0.21062933023574068,0.2118196094964022,0.0011902792606615087,62.176981302569686,False,False,False,False,False,False
0.0,2,16QAM,10000,70000,20000,140000,0.314807958984375,0.3157350283668155,0.0009270693824404708,0.0009270693824404708,0.0006227462690840497,0.0002353564961948267,2.6459701735555416,62.2066790474723,0.3135873762969703,0.31602854167177974,0.0024411653748094286,0.31527372963427364,0.31619632709935735,0.0009225974650837188,62.20667904747166,False,False,False,False,False,False
0.0,3,64QAM,10000,70000,20000,140000,0.37339809027777776,0.37397976500496033,0.0005816747271825684,0.0005816747271825684,0.0004430699832961915,0.00016733223856041487,2.6478459088815827,62.23345185436461,0.3725296731105172,0.3742665074450383,0.001736834334521098,0.3736517938173819,0.37430773619253876,0.0006559423751568705,62.233451854362656,False,False,False,False,False,False
2.0,0,BPSK,10000,70000,20000,140000,0.10949176432291667,0.10845708240327381,-0.0010346819196428575,0.0010346819196428575,0.0007848724094186972,0.00029621325214087874,2.6496870202330203,62.25969360290494,0.10795341440045603,0.11103011424537731,0.003076699844921288,0.10787650442907769,0.10903766037746994,0.0011611559483922507,62.259693602904676,False,False,False,False,False,False
2.0,1,QPSK,10000,70000,20000,140000,0.16897999674479167,0.16766497628348215,-0.0013150204613095184,0.0013150204613095184,0.0008253589570769985,0.00031220746548306025,2.643623386135143,62.173129302583654,0.16736229318892074,0.1705977003006626,0.0032354071117418615,0.16705304965113535,0.16827690291582895,0.0012238532646935973,62.17312930258394,False,False,False,False,False,False
2.0,2,16QAM,10000,70000,20000,140000,0.27891153157552084,0.27772867024739584,-0.0011828613281250067,0.0011828613281250067,0.0006897436463463996,0.00026131578473652926,2.6395024205745217,62.11407149297719,0.2775596340286819,0.2802634291223598,0.0027037950936779076,0.27721649130931225,0.2782408491854794,0.0010243578761671701,62.11407149297838,False,False,False,False,False,False
2.0,3,64QAM,10000,70000,20000,140000,0.34637079535590276,0.34550111219618057,-0.0008696831597221899,0.0008696831597221899,0.0005120361761037888,0.00019437839668817145,2.634223683433375,62.038151646384584,0.3453672044507393,0.3473743862610662,0.0020071818103268857,0.34512013053867174,0.3458820938536894,0.0007619633150176552,62.03815164638408,False,False,False,False,False,False
4.0,0,BPSK,10000,70000,20000,140000,0.07622408854166667,0.07717391183035714,0.0009498232886904767,0.0009498232886904767,0.0007095734270336988,0.00027052554310551106,2.6229442842554396,61.874905006460544,0.07483332462468062,0.07761485245865271,0.0027815278339720917,0.07664368176587034,0.07770414189484394,0.0010604601289735949,61.87490500646074,False,False,False,False,False,False
4.0,1,QPSK,10000,70000,20000,140000,0.12603580729166666,0.12692300734747025,0.0008872000558035886,0.0008872000558035886,0.0008047766716179568,0.00030643812808338447,2.626228911693946,61.92258810542949,0.12445844501529547,0.12761316956803787,0.003154724552742391,0.1263223886164268,0.1275236260785137,0.0012012374620868904,61.922588105428765,False,False,False,False,False,False
