mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber
0,BPSK,1,0.0,70000,107520000,15750511,0.14648912760416666,69614,0.9944857142857143,0.1464891276041666,0.11647051726656504,0.0004402171767976935
1,QPSK,2,0.0,70000,215040000,45467848,0.21143902529761904,69999,0.9999857142857143,0.2114390252976191,0.11355045216549448,0.0004291803681269058
2,16QAM,4,0.0,70000,430080000,135880267,0.31594184105282735,70000,1.0,0.3159418410528274,0.08793677435920322,0.00033236976578807564
3,64QAM,6,0.0,70000,645120000,241345968,0.37411019345238095,70000,1.0,0.3741101934523807,0.06248267686514238,0.00023616232033539373
0,BPSK,1,2.0,70000,107520000,11569625,0.10760439918154761,67552,0.9650285714285715,0.10760439918154763,0.1104091828681946,0.00041730748618156566
1,QPSK,2,2.0,70000,215040000,35862864,0.16677299107142857,69939,0.9991285714285715,0.16677299107142854,0.11646998021386033,0.0004402151469292684
2,16QAM,4,2.0,70000,430080000,119128695,0.276991943359375,70000,1.0,0.2769919433593751,0.09767943179206483,0.00036919354961128533
3,64QAM,6,2.0,70000,645120000,222539604,0.34495846354166665,70000,1.0,0.34495846354166665,0.07274607827851243,0.0002749543314002594
0,BPSK,1,4.0,70000,107520000,8266424,0.0768826636904762,62115,0.8873571428571428,0.07688266369047615,0.10077595143479486,0.0003808972937605571
1,QPSK,2,4.0,70000,215040000,27242825,0.12668724423363095,69323,0.9903285714285714,0.12668724423363092,0.11435267817297887,0.00043221249742843716
2,16QAM,4,4.0,70000,430080000,101899966,0.23693258463541667,70000,1.0,0.23693258463541667,0.10519496268927268,0.0003975995863607627
3,64QAM,6,4.0,70000,645120000,201818203,0.31283823629712304,70000,1.0,0.31283823629712293,0.08271847341383257,0.00031264644211987
0,BPSK,1,6.0,70000,107520000,5782870,0.05378413318452381,52691,0.7527285714285714,0.05378413318452379,0.08914893747012007,0.0003369513117022648
1,QPSK,2,6.0,70000,215040000,19997774,0.09299560081845239,66632,0.9518857142857143,0.09299560081845237,0.10721440227521356,0.0004052323505495038
2,16QAM,4,6.0,70000,430080000,84676554,0.19688558872767858,70000,1.0,0.1968855887276785,0.10978570689220674,0.000414950968494584
3,64QAM,6,6.0,70000,645120000,179548296,0.2783176711309524,70000,1.0,0.2783176711309524,0.09138260435814144,0.0003453937789843564
0,BPSK,1,8.0,70000,107520000,3791687,0.03526494605654762,41253,0.5893285714285714,0.03526494605654759,0.07502144192779603,0.00028355439762631766
1,QPSK,2,8.0,70000,215040000,13760627,0.06399101097470238,60131,0.8590142857142857,0.06399101097470242,0.09473574234262477,0.000358067449296681
2,16QAM,4,8.0,70000,430080000,67037737,0.15587271437872025,69996,0.9999428571428571,0.1558727143787202,0.10917015883115316,0.00041262441550950435
3,64QAM,6,8.0,70000,645120000,155133573,0.24047242838541666,70000,1.0,0.2404724283854167,0.09669277092999516,0.00036546432208357544
0,BPSK,1,10.0,70000,107520000,2512676,0.02336938244047619,30217,0.4316714285714286,0.02336938244047619,0.06223077158600172,0.00023521020787460728
1,QPSK,2,10.0,70000,215040000,9400468,0.043714973958333334,50184,0.7169142857142857,0.04371497395833334,0.08176730624304641,0.00030905136813537133
2,16QAM,4,10.0,70000,430080000,51475002,0.11968703962053572,69879,0.9982714285714286,0.11968703962053572,0.10553929474179799,0.0003989010391884918
3,64QAM,6,10.0,70000,645120000,131287796,0.2035091083829365,70000,1.0,0.2035091083829364,0.10008394160327155,0.000378281742447668
0,BPSK,1,12.0,70000,107520000,1638770,0.015241536458333333,21337,0.3048142857142857,0.015241536458333342,0.05072905882587489,0.0001917378198537589
1,QPSK,2,12.0,70000,215040000,6290684,0.029253552827380954,38526,0.5503714285714286,0.02925355282738095,0.06859938750817854,0.00025928131348284465
2,16QAM,4,12.0,70000,430080000,38013005,0.08838589332217262,68752,0.9821714285714286,0.08838589332217259,0.0981725150042124,0.00037105722897557585
3,64QAM,6,12.0,70000,645120000,107923663,0.16729238436259922,70000,1.0,0.1672923843625992,0.100842192198878,0.00038114766031544124
0,BPSK,1,14.0,70000,107520000,1006637,0.009362323288690477,14127,0.20181428571428572,0.009362323288690475,0.04016351917617638,0.00015180383359619497
1,QPSK,2,14.0,70000,215040000,3966613,0.018445930989583335,27894,0.3984857142857143,0.018445930989583338,0.05539467615397717,0.00020937219580054785
2,16QAM,4,14.0,70000,430080000,26562794,0.061762448846726194,64811,0.9258714285714286,0.061762448846726166,0.08642517333204144,0.0003266564509317616
3,64QAM,6,14.0,70000,645120000,85151983,0.13199402126736112,69998,0.9999714285714286,0.13199402126736112,0.09736607945718453,0.00036800918911009296
0,BPSK,1,16.0,70000,107520000,671128,0.006241889880952381,9462,0.13517142857142858,0.00624188988095238,0.03319600339250491,0.00012546909928260637
1,QPSK,2,16.0,70000,215040000,2635879,0.01225762183779762,19203,0.2743285714285714,0.012257621837797623,0.04607697049167168,0.00017415457869746399
2,16QAM,4,16.0,70000,430080000,18326218,0.04261118396577381,56600,0.8085714285714286,0.04261118396577381,0.07576731874142766,0.00028637354699425846
3,64QAM,6,16.0,70000,645120000,65004306,0.10076312313988095,69907,0.9986714285714285,0.10076312313988088,0.0931490977459839,0.00035207049640845797
0,BPSK,1,16.5,70000,107520000,577676,0.0053727306547619045,8355,0.11935714285714286,0.0053727306547619045,0.03068225345229696,0.00011596801756832962
1,QPSK,2,16.5,70000,215040000,2301209,0.010701306733630952,17170,0.24528571428571427,0.01070130673363095,0.042834449566700614,0.00016189900157118317
2,16QAM,4,16.5,70000,430080000,16421555,0.038182559058779764,53950,0.7707142857142857,0.03818255905877976,0.07193465719570712,0.00027188744798074853
3,64QAM,6,16.5,70000,645120000,60137215,0.09321864924355158,69807,0.9972428571428571,0.0932186492435516,0.09076698532997453,0.0003430669577688008
0,BPSK,1,17.0,70000,107520000,511044,0.004753013392857143,7707,0.1101,0.004753013392857142,0.02852213476793428,0.00010780353636660437
1,QPSK,2,17.0,70000,215040000,2073129,0.009640666852678571,15838,0.22625714285714285,0.009640666852678568,0.04028044665288039,0.00015224577791732226
2,16QAM,4,17.0,70000,430080000,15073248,0.03504754464285714,51295,0.7327857142857143,0.03504754464285715,0.06913483270061163,0.0002613051060826776
3,64QAM,6,17.0,70000,645120000,56226677,0.08715692739335318,69683,0.9954714285714286,0.0871569273933532,0.08922529418370025,0.0003372399129523553
0,BPSK,1,17.5,70000,107520000,469126,0.004363151041666667,6721,0.09601428571428572,0.0043631510416666675,0.02802204255476106,0.00010591336546852403
1,QPSK,2,17.5,70000,215040000,1852419,0.00861429966517857,14073,0.20104285714285713,0.008614299665178573,0.03894943177559317,0.0001472150145507092
2,16QAM,4,17.5,70000,430080000,13414953,0.031191761997767856,48201,0.6885857142857142,0.031191761997767846,0.06622794790549631,0.00025031811428583467
3,64QAM,6,17.5,70000,645120000,51414582,0.07969770275297619,69463,0.9923285714285714,0.0796977027529762,0.08695728205365108,0.0003286676328572296
0,BPSK,1,18.0,70000,107520000,447743,0.004164276413690477,6069,0.0867,0.004164276413690478,0.027721662883683974,0.00010477803702771067
1,QPSK,2,18.0,70000,215040000,1724826,0.008020954241071429,12695,0.18135714285714286,0.008020954241071422,0.038251434745205586,0.00014457683375318473
2,16QAM,4,18.0,70000,430080000,12239205,0.028457972935267858,45740,0.6534285714285715,0.02845797293526785,0.06436353745326344,0.00024327130514532373
3,64QAM,6,18.0,70000,645120000,47726373,0.0739806129092262,69062,0.9866,0.07398061290922624,0.08534098149713652,0.0003225585909765541
0,BPSK,1,20.0,70000,107520000,254804,0.002369828869047619,3777,0.053957142857142856,0.0023698288690476178,0.0205341554873117,7.761181257451298e-05
1,QPSK,2,20.0,70000,215040000,1017501,0.004731682477678571,8148,0.1164,0.00473168247767857,0.028965117400086678,0.00010947785333774158
2,16QAM,4,20.0,70000,430080000,7754006,0.018029217819940477,33983,0.48547142857142855,0.01802921781994048,0.051532913603054266,0.0001947761053260844
3,64QAM,6,20.0,70000,645120000,33170940,0.051418247767857146,65748,0.9392571428571429,0.05141824776785713,0.07428547984774382,0.0002807727224289006
0,BPSK,1,22.0,70000,107520000,162673,0.0015129557291666666,2458,0.035114285714285716,0.0015129557291666666,0.016604719972968977,6.275994234049009e-05
1,QPSK,2,22.0,70000,215040000,652511,0.003034370349702381,5434,0.07762857142857142,0.003034370349702382,0.023217250768174498,8.77529595131615e-05
2,16QAM,4,22.0,70000,430080000,5124804,0.011915931919642858,24259,0.34655714285714284,0.01191593191964286,0.042242911942320396,0.0001596631995065432
3,64QAM,6,22.0,70000,645120000,23092997,0.035796436321924606,58389,0.8341285714285714,0.03579643632192458,0.06438768086888035,0.00024336255867892659
0,BPSK,1,22.5,70000,107520000,141469,0.0013157459077380953,2135,0.0305,0.0013157459077380949,0.015352676769695251,5.80276638453887e-05
1,QPSK,2,22.5,70000,215040000,567812,0.002640494791666667,4707,0.06724285714285715,0.0026404947916666664,0.021680952967502155,8.194629962699793e-05
2,16QAM,4,22.5,70000,430080000,4485785,0.010430117652529762,21848,0.31211428571428573,0.010430117652529767,0.03958800590450143,0.00014962859789181056
3,64QAM,6,22.5,70000,645120000,20614434,0.031954417782738095,55829,0.7975571428571429,0.031954417782738116,0.0611871087216808,0.00023126553302948373
0,BPSK,1,23.0,70000,107520000,126432,0.0011758928571428571,1998,0.028542857142857144,0.0011758928571428567,0.014319099928595827,5.412111058478184e-05
1,QPSK,2,23.0,70000,215040000,518784,0.0024125,4326,0.0618,0.0024125,0.020411018340653255,7.714639790706679e-05
2,16QAM,4,23.0,70000,430080000,4099289,0.009531456938244047,20011,0.28587142857142855,0.009531456938244044,0.03798805255045872,0.0001435813426288096
3,64QAM,6,23.0,70000,645120000,18838811,0.029202025979662698,53012,0.7573142857142857,0.029202025979662687,0.05915561504179982,0.00022358720864810582
0,BPSK,1,23.5,70000,107520000,117138,0.001089453125,1740,0.024857142857142855,0.0010894531250000001,0.013900681842204585,5.253963886957789e-05
1,QPSK,2,23.5,70000,215040000,468727,0.0021797200520833333,3806,0.05437142857142857,0.002179720052083332,0.01980257988172857,7.484671669220663e-05
2,16QAM,4,23.5,70000,430080000,3640412,0.00846449962797619,18003,0.2571857142857143,0.00846449962797619,0.03613993268714046,0.00013659610612683988
3,64QAM,6,23.5,70000,645120000,16895696,0.02619000496031746,50298,0.7185428571428571,0.026190004960317464,0.05646174093280516,0.00021340532156851214
0,BPSK,1,24.0,70000,107520000,103728,0.0009647321428571428,1548,0.022114285714285715,0.0009647321428571428,0.013388225951631336,5.060273766336797e-05
1,QPSK,2,24.0,70000,215040000,411863,0.0019152855282738095,3338,0.04768571428571428,0.00191528552827381,0.01866553461230445,7.054908953175142e-05
