profile,requested_blocks_per_seed,snr_db,checkpoint_idx,blocks_per_seed,pooled_blocks,mode_id,modulation,pooled_ber,pooled_se,ci95_low,ci95_high,overlaps_ber_target,z_ab
deep,70000,0.0,1,5000,10000,0,BPSK,0.14470377604166668,0.0011630107772904804,0.14242427491817733,0.14698327716515602,False,1.0615922742251758
deep,70000,0.0,1,5000,10000,1,QPSK,0.20937688802083335,0.0011353025949362389,0.20715169493475832,0.21160208110690837,False,1.3261009527654224
deep,70000,0.0,1,5000,10000,2,16QAM,0.31436658528645833,0.0008812189844608634,0.31263939607691504,0.3160937744960016,False,1.243742825544135
deep,70000,0.0,1,5000,10000,3,64QAM,0.3731570095486111,0.0006266492284307624,0.3719287770608868,0.3743852420363354,False,1.3697789847399975
deep,70000,0.0,2,10000,20000,0,BPSK,0.14524303385416668,0.0008221026568308533,0.1436317126467782,0.14685435506155514,False,0.2191197657084601
deep,70000,0.0,2,10000,20000,1,QPSK,0.21000489908854167,0.0008027986104576323,0.20843141381204472,0.21157838436503862,False,0.17713076532916497
deep,70000,0.0,2,10000,20000,2,16QAM,0.314807958984375,0.0006227462690840497,0.3135873762969703,0.31602854167177974,False,0.12531861385166138
deep,70000,0.0,2,10000,20000,3,64QAM,0.37339809027777776,0.0004430699832961915,0.3725296731105172,0.3742665074450383,False,0.19118724856316513
deep,70000,0.0,3,15000,30000,0,BPSK,0.14641117621527777,0.0006751982609531082,0.14508778762380967,0.14773456480674588,False,0.22944930100176686
deep,70000,0.0,3,15000,30000,1,QPSK,0.21106934678819445,0.0006581934797213907,0.2097792875679405,0.21235940600844838,False,0.14568060226239776
deep,70000,0.0,3,15000,30000,2,16QAM,0.3155479926215278,0.0005099968878372889,0.3145483987213667,0.31654758652168885,False,0.07150745457584136
deep,70000,0.0,3,15000,30000,3,64QAM,0.3739170355902778,0.0003629048879385066,0.3732057420099183,0.37462832917063726,False,0.043971546541846256
deep,70000,0.0,4,20000,40000,0,BPSK,0.146426318359375,0.0005835791148649981,0.1452825032942396,0.1475701334245104,False,0.6890187791288943
deep,70000,0.0,4,20000,40000,1,QPSK,0.2111344970703125,0.0005688796812856913,0.21001949289499255,0.21224950124563247,False,0.56670148395019
deep,70000,0.0,4,20000,40000,2,16QAM,0.31569171142578123,0.00044093123575497455,0.3148274862037015,0.31655593664786097,False,0.5159542716766289
deep,70000,0.0,4,20000,40000,3,64QAM,0.37398408203125,0.000313549686282859,0.3733695246461356,0.3745986394163644,False,0.4208909129926831
deep,70000,0.0,5,25000,50000,0,BPSK,0.14658768229166666,0.0005217966594995217,0.1455649608390476,0.14761040374428572,False,0.023456380524796226
deep,70000,0.0,5,25000,50000,1,QPSK,0.21138307942708334,0.0005085080431747358,0.21038640366246086,0.21237975519170582,False,0.0055692392045048125
deep,70000,0.0,5,25000,50000,2,16QAM,0.315900400390625,0.0003938626283674398,0.3151284296390248,0.3166723711422252,False,0.003595165833630137
deep,70000,0.0,5,25000,50000,3,64QAM,0.37409953776041666,0.0002800212606933418,0.3735506960894577,0.37464837943137563,False,0.020622297909618868
deep,70000,0.0,6,30000,60000,0,BPSK,0.14661057942708333,0.00047542419409448127,0.14567874800665814,0.14754241084750852,False,0.34483297365572974
deep,70000,0.0,6,30000,60000,1,QPSK,0.21146948784722222,0.0004635897395873596,0.210560851957631,0.21237812373681345,False,0.388510329942226
