mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber,z_ab,fixed_budget_reached,is_stable,reliability_uncertain
0,BPSK,1,16.75,140000,215040000,1125453,0.00523369140625,15788,0.11277142857142858,0.005233691406250001,0.030831368445818182,8.240029820688902e-05,0.8910586087906638,True,N/A (deprecated),False
1,QPSK,2,16.75,140000,430080000,4400197,0.010231112816220238,32689,0.23349285714285714,0.010231112816220234,0.042521515971112735,0.00011364353166438578,0.6878850023090631,True,N/A (deprecated),False
2,16QAM,4,16.75,140000,860160000,31179097,0.03624802013578869,105219,0.7515642857142857,0.0362480201357887,0.07084266293354882,0.00018933498076003532,0.19363383184777028,True,N/A (deprecated),False
3,64QAM,6,16.75,140000,1290240000,115514214,0.08952924572172619,139509,0.9964928571428572,0.08952924572172621,0.08995646315162256,0.0002404187605995189,0.23612588155644576,True,N/A (deprecated),False
0,BPSK,1,22.75,140000,215040000,294138,0.0013678292410714285,4208,0.03005714285714286,0.0013678292410714283,0.01573904243675684,4.206436028159984e-05,0.3548706947700958,True,N/A (deprecated),False
1,QPSK,2,22.75,140000,430080000,1159073,0.0026950172061011904,9062,0.06472857142857143,0.00269501720610119,0.02217601576956687,5.926789515243949e-05,0.7611227657095743,True,N/A (deprecated),False
2,16QAM,4,22.75,140000,860160000,8720698,0.010138460286458333,41730,0.2980714285714286,0.010138460286458331,0.03979210643597329,0.00010634887784389598,1.2249651620668123,True,N/A (deprecated),True
3,64QAM,6,22.75,140000,1290240000,39478637,0.030597901940724207,108567,0.7754785714285715,0.030597901940724204,0.06079308180719891,0.00016247634543475593,1.6146320844715465,True,N/A (deprecated),False
0,BPSK,1,28.25,140000,215040000,86748,0.00040340401785714285,1186,0.00847142857142857,0.00040340401785714285,0.008875488989712414,2.3720742099705884e-05,0.5642118576469891,True,N/A (deprecated),False
1,QPSK,2,28.25,140000,430080000,334255,0.000777192615327381,2650,0.01892857142857143,0.000777192615327381,0.012202083705958893,3.2611440451739314e-05,0.10716136038322073,True,N/A (deprecated),False
2,16QAM,4,28.25,140000,860160000,2549524,0.0029640113467261906,13382,0.09558571428571429,0.00296401134672619,0.021913726060538617,5.85668964186821e-05,0.4868884821309339,True,N/A (deprecated),False
3,64QAM,6,28.25,140000,1290240000,12358111,0.009578149026537698,48711,0.3479357142857143,0.009578149026537697,0.03572901051098912,9.548979721469016e-05,0.9119041837483621,True,N/A (deprecated),False
