mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber
0,BPSK,1,16.75,70000,107520000,570621,0.005307114955357143,7860,0.11228571428571428,0.005307114955357145,0.031247711306452153,0.00011810524736687658
1,QPSK,2,16.75,70000,215040000,2216909,0.010309286644345238,16340,0.23342857142857143,0.010309286644345234,0.04286573255187993,0.0001620172401412577
2,16QAM,4,16.75,70000,430080000,15605316,0.036284681919642854,52509,0.7501285714285715,0.036284681919642875,0.07107355288476777,0.0002686327796098469
3,64QAM,6,16.75,70000,645120000,57720484,0.08947247643849206,69752,0.9964571428571428,0.08947247643849211,0.09012321110422278,0.00034063371990906895
0,BPSK,1,22.75,70000,107520000,145464,0.0013529017857142856,2080,0.029714285714285714,0.0013529017857142854,0.015820965448499983,5.979762868239488e-05
1,QPSK,2,22.75,70000,215040000,569836,0.002649906994047619,4485,0.06407142857142857,0.002649906994047618,0.022086604255024823,8.347951737813813e-05
2,16QAM,4,22.75,70000,430080000,4304321,0.010008186848958333,20726,0.2960857142857143,0.010008186848958331,0.03950272466547616,0.000149306265106153
3,64QAM,6,22.75,70000,645120000,19570079,0.03033556392609127,54280,0.7754285714285715,0.030335563926091273,0.06044744538056041,0.0002284698683801756
0,BPSK,1,28.25,70000,107520000,44813,0.0004167875744047619,585,0.008357142857142856,0.00041678757440476193,0.009411868742020466,3.557352009109783e-05
1,QPSK,2,28.25,70000,215040000,166376,0.0007736979166666667,1326,0.018942857142857143,0.0007736979166666667,0.01253477462578988,4.7376994857261054e-05
2,16QAM,4,28.25,70000,430080000,1262498,0.0029354957217261903,6596,0.09422857142857143,0.00293549572172619,0.021889197896793798,8.273339147656352e-05
3,64QAM,6,28.25,70000,645120000,6122880,0.009491071428571429,24370,0.34814285714285714,0.009491071428571429,0.03558277088685347,0.00013449023246457645
