action,modulation,requested_code_rate,effective_code_rate,effective_spectral_efficiency,snr_db,eb_n0_db,info_bits_per_block,coded_bits_per_block,num_blocks,total_info_bits,total_coded_bits,info_bit_errors,info_ber,info_ber_se,info_ber_ci95_low,info_ber_ci95_high,block_errors,bler,bler_se,bler_ci95_low,bler_ci95_high,bler_wilson_ci95_low,bler_wilson_ci95_high,bler_clopper_pearson_ci95_low,bler_clopper_pearson_ci95_high,decoder_iterations,cn_update,channel_type,csi
BPSK-1/2,BPSK,0.5,0.5,0.5,10.0,13.010299956639813,768,1536,20,15360,30720,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
BPSK-1/2,BPSK,0.5,0.5,0.5,18.0,21.010299956639813,768,1536,20,15360,30720,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
BPSK-1/2,BPSK,0.5,0.5,0.5,26.0,29.010299956639813,768,1536,20,15360,30720,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
QPSK-1/2,QPSK,0.5,0.5,1.0,10.0,10.0,1536,3072,20,30720,61440,685,0.022298177083333332,0.01669912523805937,0.0,0.0550284625499297,3,0.15,0.07984359711335656,0.0,0.30649345034217884,0.05236779195949584,0.36042329588695743,0.032070937185463715,0.378926826545314,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
QPSK-1/2,QPSK,0.5,0.5,1.0,18.0,18.0,1536,3072,20,30720,61440,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
QPSK-1/2,QPSK,0.5,0.5,1.0,26.0,26.0,1536,3072,20,30720,61440,611,0.019889322916666667,0.019889322916666667,0.0,0.058872395833333334,1,0.05,0.04873397172404482,0.0,0.14551858457912786,0.008881219432873136,0.23613589351256675,0.0012650894979498047,0.24873276277202766,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
QPSK-2/3,QPSK,0.6666666666666666,0.6666666666666666,1.3333333333333333,10.0,8.750612633917001,2048,3072,20,40960,61440,554,0.013525390625,0.013525390624999998,0.0,0.040035156249999995,1,0.05,0.04873397172404482,0.0,0.14551858457912786,0.008881219432873136,0.23613589351256675,0.0012650894979498047,0.24873276277202766,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
QPSK-2/3,QPSK,0.6666666666666666,0.6666666666666666,1.3333333333333333,18.0,16.750612633917,2048,3072,20,40960,61440,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
QPSK-2/3,QPSK,0.6666666666666666,0.6666666666666666,1.3333333333333333,26.0,24.750612633917,2048,3072,20,40960,61440,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
16QAM-1/2,16QAM,0.5,0.5,2.0,10.0,6.9897000433601875,3072,6144,20,61440,122880,7246,0.11793619791666667,0.035871288100145636,0.04762847324038122,0.1882439225929521,10,0.5,0.11180339887498948,0.28086533820502063,0.7191346617949794,0.2992949144298199,0.7007050855701801,0.27195784956079183,0.7280421504392082,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
16QAM-1/2,16QAM,0.5,0.5,2.0,18.0,14.989700043360187,3072,6144,20,61440,122880,969,0.015771484375,0.015771484375,0.0,0.046683593749999995,1,0.05,0.04873397172404482,0.0,0.14551858457912786,0.008881219432873136,0.23613589351256675,0.0012650894979498047,0.24873276277202766,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
16QAM-1/2,16QAM,0.5,0.5,2.0,26.0,22.989700043360187,3072,6144,20,61440,122880,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
16QAM-3/4,16QAM,0.75,0.75,3.0,10.0,5.228787452803376,4608,6144,20,92160,122880,10969,0.11902126736111111,0.029260482370481136,0.061670721914968085,0.17637181280725414,16,0.8,0.08944271909999157,0.6246922705640165,0.9753077294359835,0.5839782779742401,0.9193436467288,0.5633859970033317,0.9426660029499673,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
16QAM-3/4,16QAM,0.75,0.75,3.0,18.0,13.228787452803376,4608,6144,20,92160,122880,1020,0.011067708333333334,0.011067708333333332,0.0,0.03276041666666667,1,0.05,0.04873397172404482,0.0,0.14551858457912786,0.008881219432873136,0.23613589351256675,0.0012650894979498047,0.24873276277202766,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
16QAM-3/4,16QAM,0.75,0.75,3.0,26.0,21.228787452803374,4608,6144,20,92160,122880,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-1/2,64QAM,0.5,0.5,3.0,10.0,5.228787452803376,4608,9216,20,92160,184320,17303,0.18774956597222223,0.024946475841969316,0.13885447332196238,0.23664465862248207,16,0.8,0.08944271909999157,0.6246922705640165,0.9753077294359835,0.5839782779742401,0.9193436467288,0.5633859970033317,0.9426660029499673,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-1/2,64QAM,0.5,0.5,3.0,18.0,13.228787452803376,4608,9216,20,92160,184320,4647,0.05042317708333333,0.020503580413355656,0.010236159473156252,0.09061019469351042,6,0.3,0.10246950765959598,0.09915976498719187,0.500840235012808,0.14547527396899385,0.5189767762289793,0.1189315904057277,0.5427891822762891,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-1/2,64QAM,0.5,0.5,3.0,26.0,21.228787452803374,4608,9216,20,92160,184320,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16113012549493322,0.0,0.16843347098308528,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-2/3,64QAM,0.6666666666666666,0.6666666666666666,4.0,10.0,3.979400086720376,6144,9216,20,122880,184320,23820,0.19384765625,0.026484928563256058,0.14193719626601814,0.24575811623398186,17,0.85,0.07984359711335656,0.6935065496578211,1.0,0.6395767041130426,0.9476322080405041,0.6210731734546859,0.9679290628145363,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-2/3,64QAM,0.6666666666666666,0.6666666666666666,4.0,18.0,11.979400086720375,6144,9216,20,122880,184320,3513,0.0285888671875,0.016051816386818445,0.0,0.06005042730566415,5,0.25,0.09682458365518543,0.06022381603583657,0.4397761839641634,0.11186005278940311,0.4687050099580635,0.08657146910143462,0.49104587170795755,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-2/3,64QAM,0.6666666666666666,0.6666666666666666,4.0,26.0,19.979400086720375,6144,9216,20,122880,184320,2095,0.017049153645833332,0.012598865191108715,0.0,0.041742929420406416,2,0.1,0.0670820393249937,0.0,0.23148079707698765,0.027865893984153234,0.30103820641179335,0.012348527170294813,0.31698271401908235,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-3/4,64QAM,0.75,0.75,4.5,10.0,3.4678748622465623,6912,9216,20,138240,184320,32330,0.23386863425925927,0.024959007267731936,0.1849489800145047,0.2827882885040139,20,1.0,0.0,1.0,1.0,0.8388698745050667,1.0,0.8315665290169146,1.0,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-3/4,64QAM,0.75,0.75,4.5,18.0,11.467874862246562,6912,9216,20,138240,184320,13990,0.10120081018518519,0.03306790505850091,0.03638771627052341,0.16601390409984695,12,0.6,0.10954451150103323,0.38529275745797487,0.8147072425420251,0.3865779423152061,0.7811960325858074,0.3605425873074897,0.8088099392746928,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
64QAM-3/4,64QAM,0.75,0.75,4.5,26.0,19.46787486224656,6912,9216,20,138240,184320,2285,0.01652922453703704,0.011454632553712658,0.0,0.03898030434231385,2,0.1,0.0670820393249937,0.0,0.23148079707698765,0.027865893984153234,0.30103820641179335,0.012348527170294813,0.31698271401908235,15,boxplus-phi,Slow Rayleigh Flat Block Fading,Perfect Coherent CSI
